tid,algo,outlier_rate,missing_rate,seed,duration,fisher_dist,frobenius_rel,err_mu,n_iter,converged
19,MICE + SCM_robust,0.0,0.0,19,0.014307498931884766,3.6328688936127222,0.5424676746416991,0.4426723471155527,,True
20,MICE + SCM_robust,0.0,0.1,20,0.059354305267333984,2.985929869405452,0.43956159387922117,0.3272027908579827,,True
21,MICE + SCM_robust,0.0,0.1,21,0.06167268753051758,3.829098265109172,0.5341036537703377,0.3815210290718391,,True
22,MICE + SCM_robust,0.0,0.1,22,0.09008455276489258,3.458323919461116,0.4986974946064228,0.2879339901664309,,True
23,MICE + SCM_robust,0.0,0.1,23,0.057707786560058594,3.378422123858191,0.4900944574707779,0.2576497705913957,,True
24,MICE + SCM_robust,0.0,0.1,24,0.09138035774230957,3.4923979125012465,0.5016419346496248,0.2688559901909813,,True
25,MICE + SCM_robust,0.0,0.1,25,0.09637689590454102,3.1986212737882846,0.47404819731305176,0.36457235610946576,,True
26,MICE + SCM_robust,0.0,0.1,26,0.08886909484863281,3.5136647127763942,0.5055401896807661,0.3677151427908102,,True
27,MICE + SCM_robust,0.0,0.1,27,0.09409213066101074,3.5754324544431975,0.49992789417081207,0.36876605622115416,,True
28,MICE + SCM_robust,0.0,0.1,28,0.0933077335357666,3.68853074382414,0.5240675127603028,0.3379926060434159,,True
29,MICE + SCM_robust,0.0,0.1,29,0.10647392272949219,3.2796172621301736,0.4766626086085464,0.507557753574384,,True
30,MICE + SCM_robust,0.0,0.1,30,0.09057331085205078,3.7182924962013777,0.5122801024438267,0.3157035735316663,,True
31,MICE + SCM_robust,0.0,0.1,31,0.09401702880859375,3.2460323179646404,0.47151032927428016,0.3414995909784677,,True
32,MICE + SCM_robust,0.0,0.1,32,0.09471988677978516,3.5072636904185335,0.5149013440005415,0.23483219303429154,,True
33,MICE + SCM_robust,0.0,0.1,33,0.09153223037719727,3.099057011559301,0.4689010081273579,0.18005093239910866,,True
34,MICE + SCM_robust,0.0,0.1,34,0.08951377868652344,4.136828821010057,0.5649865115709729,0.34244984967054337,,True
35,MICE + SCM_robust,0.0,0.1,35,0.08982658386230469,3.493942607409834,0.4969505932165265,0.4167419662787582,,True
36,MICE + SCM_robust,0.0,0.1,36,0.05906820297241211,3.4276000349094184,0.49038590254867104,0.3767091000621547,,True
37,MICE + SCM_robust,0.0,0.1,37,0.059198856353759766,3.1571888549178877,0.48323285838197877,0.32600438853329744,,True
38,MICE + SCM_robust,0.0,0.1,38,0.08990931510925293,3.5819861560682527,0.49149992043771007,0.3230172152503589,,True
39,MICE + SCM_robust,0.0,0.1,39,0.09117460250854492,3.526037026132508,0.499578401764105,0.325251153711853,,True
40,MICE + SCM_robust,0.0,0.2,40,0.09249687194824219,3.871501790093997,0.4948759153448507,0.28465629565836814,,True
41,MICE + SCM_robust,0.0,0.2,41,0.09152936935424805,4.224357655475522,0.5476553682346597,0.43698086831568594,,True
