tid,algo,outlier_rate,missing_rate,seed,duration,fisher_dist,frobenius_rel,err_mu,n_iter,converged
0,MeanImpute + SCM,0.0,0.0,0,0.0011341571807861328,0.9278795139540352,0.1783648127287589,0.207027345661676,,True
1,MeanImpute + SCM,0.0,0.0,1,0.0012083053588867188,0.8923960950804292,0.17158453248638744,0.2843867906338665,,True
2,MeanImpute + SCM,0.0,0.0,2,0.00160980224609375,0.9034903576737884,0.16900996621315714,0.23621998321741136,,True
3,MeanImpute + SCM,0.0,0.0,3,0.0012013912200927734,0.9390035067967771,0.1911436495751001,0.281771450426261,,True
4,MeanImpute + SCM,0.0,0.0,4,0.001234292984008789,0.9831613734839979,0.18475920430031542,0.2576998811237236,,True
5,MeanImpute + SCM,0.0,0.0,5,0.0013353824615478516,0.9164817987850036,0.18598527473068935,0.31581809414112066,,True
6,MeanImpute + SCM,0.0,0.0,6,0.0016150474548339844,0.9286609440442564,0.17751639110713266,0.24955484325665614,,True
7,MeanImpute + SCM,0.0,0.0,7,0.0014467239379882812,0.9440564217673517,0.18291300160629845,0.32670821294786756,,True
8,MeanImpute + SCM,0.0,0.0,8,0.0012373924255371094,0.9726415341946372,0.1851258203078293,0.2442502868460887,,True
9,MeanImpute + SCM,0.0,0.0,9,0.001903533935546875,1.0067980607728233,0.19825948929255907,0.24636377260774645,,True
10,MeanImpute + SCM,0.0,0.0,10,0.0012352466583251953,0.9332900971209033,0.18927723438113983,0.34497032489482576,,True
11,MeanImpute + SCM,0.0,0.0,11,0.0033075809478759766,0.8728776167330915,0.1768263987684016,0.25697073117389496,,True
12,MeanImpute + SCM,0.0,0.0,12,0.0012042522430419922,0.954793994608268,0.17986155107505916,0.23464262654650683,,True
13,MeanImpute + SCM,0.0,0.0,13,0.0014948844909667969,0.8876563228085368,0.17343694407731938,0.28695326475613675,,True
14,MeanImpute + SCM,0.0,0.0,14,0.0014407634735107422,0.8821689986476541,0.17134422260835652,0.30993516048410985,,True
15,MeanImpute + SCM,0.0,0.0,15,0.001161336898803711,0.9316648476861343,0.1855736627559885,0.1821617166514646,,True
16,MeanImpute + SCM,0.0,0.0,16,0.0016474723815917969,0.8987307680353229,0.17095008996553818,0.24691566328243553,,True
17,MeanImpute + SCM,0.0,0.0,17,0.00145721435546875,0.8995952649784728,0.17395886487386308,0.2241319156709015,,True
18,MeanImpute + SCM,0.0,0.0,18,0.0014281272888183594,0.9044884714185545,0.18629142768148405,0.25956573820778533,,True
19,MeanImpute + SCM,0.0,0.0,19,0.001383066177368164,0.9524673994910714,0.1722012287735331,0.3155996238904257,,True
20,MeanImpute + SCM,0.0,0.1,20,0.0012199878692626953,1.0001399922954082,0.19592879485004763,0.23540174822063592,,True
21,MeanImpute + SCM,0.0,0.1,21,0.0013670921325683594,1.1525409840660086,0.2176279462846201,0.3182811655940284,,True
22,MeanImpute + SCM,0.0,0.1,22,0.0011382102966308594,1.2850504721054201,0.25056530518869435,0.27345039738380017,,True
23,MeanImpute + SCM,0.0,0.1,23,0.0010557174682617188,1.0378390377940827,0.21172011585754053,0.20946785502950416,,True
24,MeanImpute + SCM,0.0,0.1,24,0.0010576248168945312,0.9776704900948364,0.19152614673316098,0.22547965722213895,,True
25,MeanImpute + SCM,0.0,0.1,25,0.0008666515350341797,1.0421146414529932,0.20821354595479494,0.23361775887510638,,True
26,MeanImpute + SCM,0.0,0.1,26,0.0008001327514648438,1.1761703178046832,0.22920873608693434,0.35526528023485354,,True
27,MeanImpute + SCM,0.0,0.1,27,0.0007956027984619141,1.0763646373013855,0.18752203895570033,0.30143057383242194,,True
28,MeanImpute + SCM,0.0,0.1,28,0.0007688999176025391,1.1324942704797891,0.22463551149354924,0.22912420979504358,,True
29,MeanImpute + SCM,0.0,0.1,29,0.0007812976837158203,1.161811205735378,0.20959893411243435,0.38409700025585036,,True
30,MeanImpute + SCM,0.0,0.1,30,0.0007331371307373047,1.0424308056000369,0.19361483420905737,0.3019769645470306,,True
31,MeanImpute + SCM,0.0,0.1,31,0.0007967948913574219,0.9469131092656969,0.17988183066539307,0.2501898111457311,,True
32,MeanImpute + SCM,0.0,0.1,32,0.0007140636444091797,1.0956463582618083,0.22513888934802984,0.19479915515352073,,True
33,MeanImpute + SCM,0.0,0.1,33,0.0007331371307373047,1.1041543292498484,0.2229042324415129,0.19010311278437436,,True
34,MeanImpute + SCM,0.0,0.1,34,0.0012292861938476562,1.0608364344829229,0.1931447309971525,0.27928926445434243,,True
35,MeanImpute + SCM,0.0,0.1,35,0.0007953643798828125,1.176306917072058,0.217524997644006,0.2859872146975187,,True
36,MeanImpute + SCM,0.0,0.1,36,0.0007545948028564453,1.1572428217363313,0.2221201496765315,0.3215262804222187,,True
37,MeanImpute + SCM,0.0,0.1,37,0.0009465217590332031,1.1168151436215696,0.23958051288636767,0.31975243179244267,,True
38,MeanImpute + SCM,0.0,0.1,38,0.00074005126953125,1.0468374911464864,0.20504971801893504,0.2511321319343069,,True
39,MeanImpute + SCM,0.0,0.1,39,0.0007822513580322266,1.1189434285340922,0.21663780183748588,0.3450990006761565,,True
40,MeanImpute + SCM,0.0,0.2,40,0.0007195472717285156,1.354300258025862,0.29124207994602597,0.2573144150742953,,True
41,MeanImpute + SCM,0.0,0.2,41,0.0008111000061035156,1.3765818672431476,0.2903756461316923,0.3997800764835305,,True
42,MeanImpute + SCM,0.0,0.2,42,0.0007829666137695312,1.3569785369806773,0.27352961414890475,0.24305803393206152,,True
43,MeanImpute + SCM,0.0,0.2,43,0.00077056884765625,1.4380165213321545,0.2838784546904453,0.3794641522089008,,True
44,MeanImpute + SCM,0.0,0.2,44,0.0007059574127197266,1.3337162991988871,0.26703623457352954,0.290246265149818,,True
45,MeanImpute + SCM,0.0,0.2,45,0.0007979869842529297,1.4379092389684986,0.2760293055012014,0.41709876821249103,,True
46,MeanImpute + SCM,0.0,0.2,46,0.0013203620910644531,1.434969580108692,0.2869790655230677,0.2865361708460337,,True
47,MeanImpute + SCM,0.0,0.2,47,0.0008001327514648438,1.3300861724078277,0.2745296805663413,0.3603972426327444,,True
48,MeanImpute + SCM,0.0,0.2,48,0.0007684230804443359,1.273505542797253,0.26198734837377513,0.3220532238657115,,True
49,MeanImpute + SCM,0.0,0.2,49,0.0007755756378173828,1.4133485762364801,0.2762482490628589,0.2566254476128514,,True
50,MeanImpute + SCM,0.0,0.2,50,0.0009264945983886719,1.3957432950984958,0.27007914867526833,0.2937736764739877,,True
51,MeanImpute + SCM,0.0,0.2,51,0.0008203983306884766,1.3367043617208076,0.2673236474041123,0.3254062871564077,,True
52,MeanImpute + SCM,0.0,0.2,52,0.0008320808410644531,1.4778571527894,0.3137048379139764,0.32387009652352095,,True
53,MeanImpute + SCM,0.0,0.2,53,0.0008530616760253906,1.3689747065649884,0.2681863241564532,0.2770947503902867,,True
54,MeanImpute + SCM,0.0,0.2,54,0.0007917881011962891,1.2881982753579335,0.24879821266389088,0.2757942490325654,,True
55,MeanImpute + SCM,0.0,0.2,55,0.00077056884765625,1.324559257601816,0.27474792058412423,0.308685479906828,,True
56,MeanImpute + SCM,0.0,0.2,56,0.0008337497711181641,1.4670964258129993,0.2753838631519236,0.3396462718253744,,True
57,MeanImpute + SCM,0.0,0.2,57,0.0007879734039306641,1.4502794747767476,0.3137454532887871,0.3282909882380134,,True
58,MeanImpute + SCM,0.0,0.2,58,0.0007607936859130859,1.4547144719812344,0.28904365861155035,0.3662949602736665,,True
59,MeanImpute + SCM,0.0,0.2,59,0.0005953311920166016,1.3471898364078772,0.28416929334201696,0.3612411231711249,,True
60,MeanImpute + SCM,0.025,0.0,60,0.0008969306945800781,6.263482259948189,2.432347777817531,0.40075990465275824,,True
61,MeanImpute + SCM,0.025,0.0,61,0.0008556842803955078,5.50021087928197,2.017679443062795,0.5509360647609786,,True
62,MeanImpute + SCM,0.025,0.0,62,0.0006382465362548828,5.907338948000017,2.3898851556966143,0.5283946178591922,,True
63,MeanImpute + SCM,0.025,0.0,63,0.0005917549133300781,6.151254954550745,2.3666765026402015,0.6261654099145202,,True
64,MeanImpute + SCM,0.025,0.0,64,0.0008275508880615234,5.671020222612124,2.3312345418603746,0.353214225814051,,True
65,MeanImpute + SCM,0.025,0.0,65,0.0009186267852783203,5.996521688994424,2.3567733097416452,0.5721073117049537,,True
66,MeanImpute + SCM,0.025,0.0,66,0.0005795955657958984,6.205333459469663,2.417540804050576,0.40495918226832195,,True
67,MeanImpute + SCM,0.025,0.0,67,0.0008113384246826172,5.94594670519604,2.584625322476974,0.3604299599851865,,True
68,MeanImpute + SCM,0.025,0.0,68,0.0005900859832763672,6.302630471138645,2.4763729113629,0.5956436614768597,,True
69,MeanImpute + SCM,0.025,0.0,69,0.000881195068359375,6.197877663779993,2.6132714030408253,0.5203194622759649,,True
70,MeanImpute + SCM,0.025,0.0,70,0.0008406639099121094,6.066115636195927,2.2343391318567014,0.2803232361110845,,True
71,MeanImpute + SCM,0.025,0.0,71,0.0007936954498291016,6.71604271405631,2.6623622966477156,0.48615453083399635,,True
72,MeanImpute + SCM,0.025,0.0,72,0.0008585453033447266,5.987970813558003,2.417117955982513,0.38884458410234707,,True
73,MeanImpute + SCM,0.025,0.0,73,0.0008220672607421875,6.726966183329415,3.080533173995029,0.4240471311600693,,True
74,MeanImpute + SCM,0.025,0.0,74,0.0012602806091308594,6.664558768731253,2.8227823611957636,0.5926600955860818,,True
75,MeanImpute + SCM,0.025,0.0,75,0.00086212158203125,5.829542392232211,2.296784447979146,0.5890690395725544,,True
76,MeanImpute + SCM,0.025,0.0,76,0.0014865398406982422,6.498685508468802,2.793820108525135,0.509583077176031,,True
77,MeanImpute + SCM,0.025,0.0,77,0.0016031265258789062,6.319474662970228,2.93681675966373,0.6629937382075178,,True
78,MeanImpute + SCM,0.025,0.0,78,0.0008611679077148438,6.2312369507697545,2.7018165359969197,0.667395152879153,,True
79,MeanImpute + SCM,0.025,0.0,79,0.0009188652038574219,6.843594870185348,3.0454718000167356,0.5578402375315573,,True
80,MeanImpute + SCM,0.025,0.1,80,0.0009551048278808594,5.439420844311549,1.9622069393505344,0.6718991249451102,,True
81,MeanImpute + SCM,0.025,0.1,81,0.001138925552368164,6.175991249825818,2.6802878624862516,0.8036472244764054,,True
82,MeanImpute + SCM,0.025,0.1,82,0.0013315677642822266,5.359586822504357,1.8926552627997932,0.439933193024452,,True
83,MeanImpute + SCM,0.025,0.1,83,0.0008022785186767578,5.8342087276119186,2.211599360942911,0.5028459001786972,,True
84,MeanImpute + SCM,0.025,0.1,84,0.0007708072662353516,6.061092613670191,2.297845488134765,0.5656730056236389,,True
85,MeanImpute + SCM,0.025,0.1,85,0.0009746551513671875,5.366691517958629,1.967923958006749,0.4980249166005498,,True
86,MeanImpute + SCM,0.025,0.1,86,0.0006842613220214844,5.407427931487427,2.024259275710568,0.5918474891170031,,True
87,MeanImpute + SCM,0.025,0.1,87,0.0012700557708740234,5.49097230277447,1.9829599342739759,0.4384073282822163,,True
88,MeanImpute + SCM,0.025,0.1,88,0.0007562637329101562,5.792704012780024,2.542249649768298,0.5177979556476737,,True
